TILE_ID,NUMBER,RA,DEC,FWHM_WORLD,uJAVA,Ax_uJAVA,J0378,Ax_J0378,J0395,Ax_J0395,J0410,Ax_J0410,J0430,Ax_J0430,gSDSS,Ax_gSDSS,J0515,Ax_J0515,rSDSS,Ax_rSDSS,J0660,Ax_J0660,iSDSS,Ax_iSDSS,J0861,Ax_J0861,zSDSS,Ax_zSDSS,W1,W2,W3,W4,J,H,K,sglc_prob_star,parallax,parallax_error,G,BP,RP,Ax_G,BP_RP,EXT_BP_RP,Teff_GAIA,ebv,ebv_err,RV,RV_error,ra_obs,dec_obs,snr,objtype,magtype,mag1,mag2,mag3,mag4,mag5,mag6,mag7,teff_lasp,teff_lasp_err,logg_lasp,logg_lasp_err,feh_lasp,feh_lasp_err,vsini_lasp,vsini_lasp_err,rv_b0,rv_b0_err,rv_b1,rv_b1_err,rv_b_flag,rv_r0,rv_r0_err,rv_r1,rv_r1_err,rv_r_flag,rv_br0,rv_br0_err,rv_br1,rv_br1_err,rv_br_flag,rv_lasp0,rv_lasp0_err,rv_lasp1,rv_lasp1_err,coadd,fibermask,alpha_m_cnn,teff_cnn,logg_cnn,feh_cnn,c_fe,n_fe,o_fe,mg_fe,al_fe,si_fe,s_fe,ca_fe,ti_fe,cr_fe,ni_fe,cu_fe
69138,1195,241.014524849,54.8380490782,4.97877E-4,16.198,0.0470367,16.216,0.0450939,15.839,0.0443798,14.946,0.042248,14.673,0.0405257,14.087,0.0356845,13.96,0.0330591,13.304,0.0250253,13.239,0.022694,13.037,0.0183043,12.989,0.0145027,13.016,0.0135366,11.201,11.273,11.193,9.808,11.798,11.355,11.254,1.0,3.5829,0.013,13.233561,13.749875,12.583408,0.189,1.166467,0.0967,4951.06,0.010501605,0.012001,,,241.01469,54.838,29.79,Star,ugriz,99.0,99.0,99.0,99.0,99.0,99.0,99.0,4810.26,39.19,4.534,0.048,0.122,0.028,-9999.0,0.0,-24.58,1.4,-19.77,1.56,0,-17.41,1.32,-13.52,1.93,0,-23.62,1.4,-19.06,1.62,0,-25.51,0.82,-19.22,0.9,1,0,-0.06,4889.87,4.383,0.141,0.01063,0.102,-0.01762,-0.01299,-0.00891,-0.01416,0.04067,-0.03035,-0.00932,0.06821,0.0348,0.08816
69138,1580,241.635438243,54.8627416925,4.8141903E-4,15.868,0.0280197,15.807,0.0268624,15.608,0.026437,14.832,0.0251671,14.686,0.0241411,14.265,0.0212572,14.104,0.0196933,13.693,0.0149076,13.661,0.0135188,13.497,0.0109039,13.481,0.00863926,13.521,0.00806372,11.928,11.966,11.68,9.627,12.395,12.027,11.919,1.0,1.495,0.0136,13.60958,14.017584,13.051127,0.4015,0.966456,0.208,5374.0,0.006255798,0.012001,,,241.63532,54.8626,26.89,Star,ugriz,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5443.33,41.65,4.403,0.051,-0.063,0.03,-9999.0,0.0,4.96,1.16,9.77,1.35,0,12.16,1.36,16.05,1.96,0,5.73,1.11,10.29,1.38,0,2.81,0.87,9.1,0.95,1,0,-0.009,5416.05,4.511,0.042,-0.04168,-0.02005,-9999.0,0.02022,-9999.0,-0.02446,-9999.0,0.0063,-9999.0,-9999.0,0.00773,-9999.0
69138,2679,242.35489312,54.9259258704,4.8717007E-4,17.938,0.0252628,17.901,0.0242193,17.721,0.0238358,16.595,0.0226908,16.272,0.0217658,15.592,0.0191657,15.503,0.0177556,14.6,0.0134408,14.474,0.0121886,14.16,0.009831,14.034,0.00778922,14.033,0.00727032,11.944,11.97,11.977,9.35,12.731,12.112,11.966,1.0,2.7223,0.0194,14.49484,15.161212,13.714558,0.7263,1.446654,0.347,4529.47,0.005640276,0.012001,,,242.35521,54.926,35.39,Star,ugriz,99.0,99.0,99.0,99.0,99.0,99.0,99.0,4477.77,-9999.0,4.555,-9999.0,-0.325,-9999.0,32.666,0.0,-47.83,2.67,-43.02,2.76,0,-38.67,1.75,-34.78,2.25,0,-46.04,1.91,-41.48,2.07,0,-39.73,-9999.0,-9999.0,-9999.0,1,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
69138,3102,241.051432088,54.9479373449,4.7922938E-4,15.823,0.0429917,15.776,0.041216,15.637,0.0405633,14.917,0.0386148,14.821,0.0370407,14.433,0.0326157,14.264,0.0302161,13.916,0.0228733,13.89,0.0207424,13.724,0.0167302,13.706,0.0132555,13.747,0.0123725,12.135,12.16,12.244,9.508,12.655,12.277,12.215,1.0,1.8861,0.0158,13.818096,14.199838,13.28087,0.036,0.918968,0.018,5407.33,0.009598513,0.012001,,,241.05144,54.9478,17.51,Star,ugriz,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5606.3,52.67,4.584,0.067,-0.139,0.04,-9999.0,0.0,-22.72,1.36,-17.91,1.52,0,-16.66,1.87,-12.77,2.35,0,-22.1,1.29,-17.54,1.53,0,-24.18,1.01,-17.89,1.08,1,0,0.0,5412.59,4.475,-0.093,-0.04376,-0.00422,-9999.0,0.01468,-9999.0,-0.02562,-9999.0,0.02975,-9999.0,-9999.0,-0.02802,-9999.0
69138,5290,242.451874354,55.0625529054,4.846332E-4,15.52,0.0237245,15.506,0.0227446,15.255,0.0223844,14.402,0.0213091,14.206,0.0204404,13.697,0.0179986,13.559,0.0166744,12.999,0.0126223,12.937,0.0114464,12.737,0.00923236,12.698,0.00731491,12.718,0.00682761,10.954,11.015,10.955,9.854,11.511,11.137,10.994,1.0,2.9706,0.0306,12.920066,13.406734,12.294266,0.5377,1.112469,0.267,5007.23,0.005296824,0.012001,-30.46,0.73,242.45193,55.0624,45.67,Star,ugriz,99.0,99.0,99.0,99.0,99.0,99.0,99.0,4997.81,32.88,4.623,0.037,-0.072,0.023,-9999.0,0.0,-36.69,1.24,-31.88,1.42,0,-30.99,0.74,-27.1,1.6,0,-35.73,1.21,-31.17,1.46,0,-37.57,0.71,-31.28,0.8,1,0,-0.007,5067.56,4.657,-0.039,-0.00468,-0.07624,-9999.0,-0.00763,-9999.0,-0.03905,-9999.0,0.01454,-9999.0,-9999.0,2.8E-4,-9999.0
69138,8015,242.14248095,55.2101085409,4.9443595E-4,14.985,0.0312208,14.954,0.0299312,14.731,0.0294573,13.93,0.0280422,13.796,0.0268991,13.363,0.0236857,13.198,0.0219431,12.766,0.0166107,12.724,0.0150632,12.551,0.0121495,12.528,0.00962623,12.554,0.00898495,10.896,10.93,10.849,9.625,11.439,11.057,10.942,1.0,3.5499,0.023,12.674235,13.104872,12.10371,0.147,1.001162,0.0727,5244.0,0.006970481,0.012001,-27.51,1.73,242.14226,55.2101,56.27,Star,ugriz,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5350.63,41.41,4.646,0.045,0.104,0.028,-9999.0,0.0,-35.04,0.79,-30.23,1.04,0,-22.35,0.71,-18.46,1.58,0,-33.93,0.95,-29.37,1.25,0,-35.95,0.91,-29.66,0.98,1,0,-0.015,5314.53,4.558,0.036,-0.0682,-0.0659,-9999.0,-0.01656,-9999.0,-0.06095,-9999.0,0.01887,-9999.0,-9999.0,0.00698,-9999.0
69138,8560,242.45784507,55.2551707492,4.8184348E-4,15.863,0.03016,15.664,0.0289142,15.65,0.0284564,15.128,0.0270894,15.047,0.0259851,14.814,0.0228809,14.679,0.0211975,14.438,0.0160463,14.435,0.0145514,14.287,0.0117367,14.296,0.00929915,14.337,0.00867966,12.851,12.878,12.884,9.504,13.322,12.935,12.913,1.0,1.1598,0.0207,14.317424,14.620207,13.848928,0.068,0.771278,0.047,6154.11,0.0067336373,0.012001,,,242.45783,55.255111,14.74,Star,ugriz,99.0,14.63,14.29,14.22,14.14,99.0,99.0,5616.22,63.36,4.106,0.082,-1.135,0.05,-9999.0,0.0,-120.15,1.77,-115.34,1.9,0,-111.76,2.48,-107.87,2.85,0,-120.18,1.53,-115.62,1.73,0,-117.19,1.17,-110.9,1.23,1,0,0.132,5774.5,4.354,-0.517,0.08815,0.05191,-9999.0,0.19741,-9999.0,0.11669,-9999.0,0.13734,-9999.0,-9999.0,0.03104,-9999.0
69138,9424,241.868264238,55.3072549998,4.8253516E-4,18.047,0.0436882,18.011,0.0418837,17.607,0.0412205,16.617,0.0392404,16.2,0.0376408,15.362,0.0331441,15.295,0.0307056,14.203,0.0232438,14.034,0.0210784,13.711,0.0170013,13.574,0.0134703,13.575,0.0125729,11.401,11.472,11.312,9.878,12.238,11.623,11.484,1.0,4.0024,0.0181,14.102973,14.856823,13.266023,0.691,1.5908,0.337,4328.0,0.009754017,0.012001,,,241.8684,55.307331,43.66,Star,ugriz,99.0,15.11,14.05,13.67,13.43,99.0,99.0,4202.21,-9999.0,4.754,-9999.0,0.21,-9999.0,41.782,0.0,-26.38,2.13,-21.57,2.24,0,-23.82,1.73,-19.93,2.23,0,-25.76,1.88,-21.2,2.05,0,-24.36,-9999.0,-9999.0,-9999.0,1,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
68237,15913,235.02765669,51.2850442347,4.3310405E-4,14.975,0.0586233,14.832,0.056202,14.702,0.055312,13.979,0.052655,13.877,0.0505085,13.424,0.0444747,13.277,0.0412026,13.024,0.0311899,12.864,0.0282842,12.801,0.0228132,12.693,0.0180752,12.723,0.0168711,11.103,11.145,11.008,9.717,11.583,11.21,11.125,0.961,,,12.801579,13.199704,12.241896,,0.957809,,5363.25,0.013088489,0.012001,-1.44,1.66,235.02759,51.285,23.64,Star,ugriz,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5313.47,32.4,4.418,0.04,-0.175,0.024,-9999.0,0.0,-6.67,1.01,-7.53,1.24,0,-7.08,1.68,-7.78,2.19,0,-6.76,1.12,-7.21,1.32,0,-4.2,0.66,-4.68,0.73,1,0,0.097,5289.25,4.285,-0.172,0.08027,-0.05049,-9999.0,0.16775,-9999.0,0.03479,-9999.0,0.11992,-9999.0,-9999.0,0.06131,-9999.0
68237,19728,234.74314206,51.447106128,3.6338493E-4,14.618,0.0601199,14.34,0.0576367,14.336,0.056724,13.854,0.0539992,13.788,0.0517979,13.527,0.0456101,13.414,0.0422544,13.297,0.0319861,13.239,0.0290063,13.182,0.0233956,13.145,0.0185366,13.178,0.0173018,11.821,11.84,11.871,9.547,12.123,11.917,11.844,1.0,1.7261,0.0116,13.092324,13.36957,12.65444,0.06,0.71513,0.022,6288.0,0.013422621,0.012001,,,234.74313,51.447046,20.96,Star,gri,13.99,13.34,13.14,99.0,99.0,99.0,99.0,5880.34,34.79,3.993,0.043,-0.567,0.026,-9999.0,0.0,-0.13,0.98,-0.98,1.21,0,-2.11,1.67,-2.81,2.19,0,-0.58,0.97,-1.03,1.2,0,-2.7,0.7,-3.18,0.77,1,0,0.025,5895.98,4.232,-0.353,0.02677,0.22273,-9999.0,0.05572,-9999.0,0.01777,-9999.0,-0.00921,-9999.0,-9999.0,0.00744,-9999.0
